game_id,name,price,stock_quantity,category_id,platform_id,release_date
1,FIFA 24,1200,15,2,2,2023-09-29
2,Call of Duty MW3,1500,10,5,1,2023-11-10
3,The Witcher 3,800,20,3,1,2015-05-19
4,GTA V,900,12,1,1,2013-09-17
5,Red Dead Redemption 2,1400,8,4,2,2018-10-26
6,Forza Horizon 5,1300,14,6,3,2021-11-09
7,Elden Ring,1600,7,3,2,2022-02-25
8,Spider-Man 2,1700,9,1,2,2023-10-20
9,Battlefield 2042,1100,11,5,3,2021-11-19
10,NBA 2K24,1250,13,2,2,2023-09-08
11,Assassin Creed Valhalla,1000,10,4,1,2020-11-10
12,Need for Speed Heat,950,16,6,1,2019-11-08
13,Resident Evil 4 Remake,1400,9,1,2,2023-03-24
14,Far Cry 6,1100,12,1,1,2021-10-07
15,Hogwarts Legacy,1500,11,3,2,2023-02-10
16,God of War Ragnarok,1800,6,1,2,2022-11-09
17,Mortal Kombat 1,1300,10,1,2,2023-09-19
18,PUBG,700,25,5,1,2017-12-20
19,Fortnite,0,50,5,1,2017-07-21
20,Apex Legends,0,40,5,1,2019-02-04
21,Cyberpunk 2077,1200,10,3,1,2020-12-10
22,Doom Eternal,1100,9,5,1,2020-03-20
23,Hitman 3,1300,8,1,1,2021-01-20
24,Control,900,7,4,1,2019-08-27
25,Death Stranding,1000,6,4,2,2019-11-08
26,Days Gone,950,10,4,2,2021-05-18
27,Horizon Zero Dawn,850,13,3,2,2017-02-28
28,Horizon Forbidden West,1600,9,3,2,2022-02-18
29,Gran Turismo 7,1500,8,6,2,2022-03-04
30,F1 23,1400,12,6,3,2023-06-16
31,Dirt 5,1000,10,6,3,2020-11-06
32,Watch Dogs Legion,1100,9,1,1,2020-10-29
33,The Division 2,950,11,5,1,2019-03-15
34,Ghost of Tsushima,1700,7,4,2,2020-07-17
35,Sekiro Shadows Die Twice,1300,8,1,1,2019-03-22
36,Dark Souls III,1000,10,3,1,2016-03-24
37,Bloodborne,1200,6,3,2,2015-03-24
38,Nioh 2,1100,9,3,2,2020-03-13
39,Monster Hunter World,950,12,3,1,2018-01-26
40,Dragon Age Inquisition,800,14,3,1,2014-11-18
41,Mass Effect Legendary Edition,1300,7,3,1,2021-05-14
42,Skyrim,700,20,3,1,2011-11-11
43,No Mans Sky,900,15,4,1,2016-08-09
44,Minecraft,600,30,4,1,2011-11-18
45,Terraria,500,25,4,1,2011-05-16
46,Among Us,200,40,4,1,2018-06-15
47,Valorant,0,50,5,1,2020-06-02
48,League of Legends,0,50,3,1,2009-10-27
49,Overwatch 2,0,35,5,1,2022-10-04
50,Rocket League,0,45,6,1,2015-07-07